"","pref","year","prov","mayor_term","invest","state_share","soe_share","local_share","local_soe_share","nonlocal_soe_share","nonlocal_nonsoe_share","local_nonsoe_share","invest_l","mayor_term1","mayor_age","gender_fem.y","ethnicity.y","edu_onjob.y","lgdp_pc","lpopul","lfiscal","distCity","industryOptionalName","projName","first_con_mayor","projRid","cooperationTerm","returnMode","local_size","soe_size","local_soe_size","local_nonsoe_size","local_size_l","local_soe_size_l","local_nonsoe_size_l","soe_size_l","type"
"5661","宿迁市",2016,"江苏省",4,76979900,20,100,20,100,80,0,0,18.1590549067803,4,48,0,0,18,10.6885984105114,6.3737974911591,14.6727728933762,321300,"垃圾处理","江苏省宿迁市区环卫保洁市场化项目",0,"658a0bfc3e844deebb7244ce863f5719",16,"1",1539598000,7697990000,7697990000,0,21.1547871809838,22.7642250928983,0,22.7642250928983,"Environment"
"5662","一师",2016,"新疆生产建设兵团",NA,362008100,NA,NA,NA,NA,NA,NA,NA,19.7071771452303,NA,NA,NA,NA,12,NA,NA,NA,660100,"其他","新疆生产建设兵团第一师阿拉尔市胡杨河景观工程项目",NA,"706bb03d1c754990afd002d7082db0cd",10,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Constrcution"
"5663","合肥市",2015,"安徽省",4,1534200000,20,69,89,89,0,11,20,21.1512749094895,4,51,0,0,18,11.1226789641626,6.5692008761566,6.21529186460081,340100,"管网","安徽省合肥市新站区综合管廊PPP项目",0,"6c2f179a25e94eeca7fbf949749d57f3",27,"3",136543800000,105859800000,136543800000,3.0684e+10,25.6399112792289,25.6399112792289,24.1470071830761,25.3853814140962,"Energy"
"5664","江门市",2014,"广东省",3,508598300,NA,NA,NA,NA,NA,NA,NA,20.0471690684379,3,47,1,0,18,10.8375199658864,5.97380961186926,5.06280070807694,440700,"污水处理","广东省江门市鹤山市沙坪河综合整治工程（第一期）和第二污水处理厂二期截污管网工程第三阶段工程二期工程",0,"75d8df2f8e3046078a9278afc6a41a3d",10,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"5665","贵阳市",2016,"贵州省",4,339260000,NA,NA,NA,NA,NA,NA,NA,19.6422773330318,4,49,0,0,18,11.0509376232875,5.97072598195858,15.1349907439424,520100,"文化旅游","贵州省贵阳市乌当区水东文化公园建设项目",0,"7ce435de176c43c0a376b46f14d0c11f",30,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Tourism"
"5666","四平市",2016,"吉林省",2,2.49e+08,20,0,20,20,0,80,20,19.332963454429,2,53,0,0,18,10.5377866572869,5.78815425987554,13.34205939279,220300,"园区开发","吉林省伊通县伊通镇长伊中线沿线(一级路)城市市政工业基础设施建设项目",1,"7d14f8f8ae92443e8d1088344ff4a1ec",12,"1",4.98e+09,0,4.98e+09,4.98e+09,22.3286957281838,22.3286957281838,22.3286957281838,0,"Constrcution"
"5667","阳江市",2015,"广东省",3,7.2e+07,NA,NA,NA,NA,NA,NA,NA,18.0921766769803,3,57,0,0,12,10.7565828609131,5.66780981419738,4.14267112688239,441700,"医院","广东省阳江市阳西县人民医院住院楼建设项目",0,"7df4e8836efe43e98f99232b5cbabf2d",15,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Health"
"5668","福州市",2016,"福建省",5,225509700,NA,NA,NA,NA,NA,NA,NA,19.2338737315029,5,59,0,0,16,11.2286907767884,6.5196781204752,15.5391044919398,350100,"垃圾处理","福建省福州市洋里垃圾收运一体化建设PPP项目",0,"83f3d3557fc247cba89959eb4b999484",30,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"5669","杭州市",2015,"浙江省",3,9e+08,NA,NA,NA,NA,NA,NA,NA,20.6179053212886,3,60,0,0,18,11.5503464827197,6.57340079833193,6.93470573097759,330100,"保障性住房","翠苑单元西溪商务城地区FG04-R21/C2-02地块农转非拆迁安置房项目",0,"910fd184408045c7b1a5fe55d60152fd",10,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Housing"
"5670","延安市",2016,"陕西省",6,369800000,2,2,2,2,0,8,0,19.7284728769173,6,58,0,0,18,10.895330926811,5.46171091345647,14.2927833278731,610600,"其他","延河综合治理城区段两岸城市夜间文化旅游提升工程",0,"8862a4b59f0e4dc7837e2b16fdc79dfd",11,"1",739600000,739600000,739600000,0,20.4216200588293,20.4216200588293,0,20.4216200588293,"City Management"
